"ActiveDiagnostic","TBHIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/tuberculosis/parameter-campaign-individual-activediagnostic.html"
"AdherentDrug","Malaria","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-adherentdrug.html"
"AgeDiagnostic","HIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/hiv/parameter-campaign-individual-agediagnostic.html"
"AnimalFeedKill","Dengue, Malaria, Vector","Intervention","Node","https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-animalfeedkill.html"
"AntiMalarialDrug","Malaria","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-antimalarialdrug.html"
"AntiTBDrug","TBHIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/tuberculosis/parameter-campaign-individual-antitbdrug.html"
"ARTBasic","HIV, TBHIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/hiv/parameter-campaign-individual-artbasic.html"
"ARTDropout","HIV, TBHIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/hiv/parameter-campaign-individual-artdropout.html"
"ArtificialDiet","Dengue, Malaria, Vector","Intervention","Node","https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-artificialdiet.html"
"ArtificialDietHousingModification","Dengue, Malaria, Vector","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-artificialdiethousingmodification.html"
"BCGVaccine","TBHIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/tuberculosis/parameter-campaign-individual-bcgvaccine.html"
"BirthTriggeredIV","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Intervention","Node","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-birthtriggerediv.html"
"BitingRisk","Dengue, Malaria, Vector","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-bitingrisk.html"
"BroadcastCoordinatorEvent","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Event Coordinator","","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-broadcastcoordinatorevent.html"
"BroadcastEvent","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-broadcastevent.html"
"BroadcastEventToOtherNodes","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-broadcasteventtoothernodes.html"
"BroadcastNodeEvent","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","None","Node","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-broadcastnodeevent.html"
"CalendarEventCoordinator","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Event Coordinator","","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-calendareventcoordinator.html"
"CampaignEvent","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Campaign Event","","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-campaignevent.html"
"CampaignEventByYear","HIV, STI","Campaign Event","","https://institutefordiseasemodeling.github.io/Documentation/hiv/parameter-campaign-event-campaigneventbyyear.html"
"CD4Diagnostic","HIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/hiv/parameter-campaign-individual-cd4diagnostic.html"
"CommunityHealthWorkerEventCoordinator","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Event Coordinator","","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-communityhealthworkereventcoordinator.html"
"ControlledVaccine","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-controlledvaccine.html"
"CoverageByNodeEventCoordinator","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Event Coordinator","","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-coveragebynodeeventcoordinator.html"
"DelayedIntervention","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-delayedintervention.html"
"DelayEventCoordinator","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","Event Coordinator","","https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-delayeventcoordinator.html"
"DiagnosticTreatNeg","TBHIV","Intervention","Individual","https://institutefordiseasemodeling.github.io/Documentation/tuberculosis/parameter-campaign-individual-diagnostictreatneg.html"
"Drugs","Generic","Intervention","Individual",""
"EnvironmentalDiagnostic","Environmental, Typhoid","None","Node","https://institutefordiseasemodeling.github.io/Documentation/typhoid/parameter-campaign-node-environmentaldiagnostic.html"
"GroupInterventionDistributionEventCoordinator","TBHIV","Event Coordinator","","https://institutefordiseasemodeling.github.io/Documentation/tuberculosis/parameter-campaign-event-groupinterventiondistributioneventcoordinator.html"
