"Disqualifying_Properties","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",".. code-block:: json

    {
      ""Disqualifying_Properties"": [
        ""InterventionStatus:LostForever""
      ]
    }
"
"Dont_Allow_Duplicates","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",".. code-block:: json

    {
      ""Dont_Allow_Duplicates"": 0
    }
"
"Intervention_Name","string","NA","NA","BitingRisk","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.",".. code-block:: json

    {
      ""Intervention_Config"": {
        ""class"": ""BitingRisk"",
        ""Intervention_Name"": ""Relative biting risk with bednet usage""
      }
    }
"
"New_Property_Value","string","NA","NA","""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",".. code-block:: json

    {
      ""New_Property_Value"": ""InterventionStatus:None""
    }
"
"Risk_Constant","float","0","3.40282E+38","6","The risk to use for all individuals when **Risk_Distribution** is set to CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""CONSTANT_DISTRIBUTION"",
      ""Risk_Constant"": 8
    }
"
"Risk_Distribution","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for assigning the relative risk of being bitten by a mosquito to each individual. Each assigned value is a random draw from the distribution.

Possible values are:

NOT_INITIALIZED
    No distribution set. 
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Risk_Constant**.
UNIFORM_DISTRIBUTION
    Use a `uniform`_ distribution with a given minimum and maximum. Set **Risk_Max** and **Risk_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Risk_Gaussian_Mean** and **Risk_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is `exponential`_ with a given mean. Set **Risk_Exponential**.
WEIBULL_DISTRIBUTION
    Use a `Weibull`_ distribution with a given shape and scale. Set **Risk_Kappa** and **Risk_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a `log-normal`_ distribution with a given mean and width. Set **Risk_Log_Normal_Mean** and **Risk_Log_Normal_Width**.
POISSON_DISTRIBUTION
    Use a `Poisson`_ distribution with a given mean. Set **Risk_Poisson_Mean**. 
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Risk_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two `exponential`_ distributions with given means. Set **Risk_Mean_1**, **Risk_Mean_2**, and **Risk_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.


.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution

.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution

.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution

.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution

.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)

.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution

",".. code-block:: json

    {
      ""Risk_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Risk_Kappa"": 0.9,
      ""Risk_Lambda"": 1.5
    }
"
"Risk_Exponential","float","0","3.40282E+38","-1","The mean of the biting risk when **Risk_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""EXPONENTIAL_DISTRIBUTION"",
      ""Risk_Exponential"": 4.25
    }
"
"Risk_Gaussian_Mean","float","0","3.40282E+38","-1","The mean of the biting risk when **Risk_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Risk_Gaussian_Mean"": 8,
      ""Risk_Gaussian_Std_Dev"": 1.5
    }
"
"Risk_Gaussian_Std_Dev","float","1.17549E-38","3.40282E+38","-1","The standard deviation of the biting risk when **Risk_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Risk_Gaussian_Mean"": 8,
      ""Risk_Gaussian_Std_Dev"": 1.5
    }
"
"Risk_Kappa","float","1.17549E-38","3.40282E+38","-1","The shape value for the biting risk when **Risk_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Risk_Kappa"": 0.9,
      ""Risk_Lambda"": 1.5
    }
"
"Risk_Lambda","float","1.17549E-38","3.40282E+38","-1","The scale value for the biting risk when **Risk_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Risk_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Risk_Kappa"": 0.9,
      ""Risk_Lambda"": 1.5
    }
"
